date,measurement1,measurement2,user,context1,context2
2019-05-28 04:01:00,8.866666666666667,25.0,Eevee,entity2,entity1
2019-05-29 05:01:00,9.433333333333334,23.0,Eevee,entity2,entity1
2019-05-30 06:44:00,10.75,24.0,Eevee,entity2,entity1
2019-05-31 07:05:00,9.016666666666666,15.0,Eevee,entity2,entity2
2019-06-01 07:43:00,11.366666666666667,33.0,Eevee,entity2,entity1
2019-06-02 08:17:00,8.516666666666666,23.0,Eevee,entity2,entity2
2019-06-03 04:42:00,8.166666666666668,25.0,Eevee,entity2,entity1
2019-06-04 04:15:00,9.133333333333333,26.0,Eevee,entity2,entity1
2019-06-05 04:14:00,8.616666666666667,32.0,Eevee,entity2,entity1
2019-06-06 03:57:00,9.133333333333333,30.0,Eevee,entity2,entity1
2019-06-07 04:07:00,8.883333333333333,25.0,Eevee,entity2,entity1
2019-06-08 05:02:00,9.733333333333334,24.0,Eevee,entity2,entity1
2019-06-09 03:53:00,8.1,27.0,Eevee,entity2,entity1
2019-06-10 05:14:00,10.183333333333334,23.0,Eevee,entity2,entity1
2019-06-11 04:05:00,9.283333333333333,23.0,Eevee,entity3,entity1
2019-06-12 04:12:00,8.616666666666667,32.0,Eevee,entity2,entity2
2019-06-13 05:21:00,9.066666666666666,22.0,Eevee,entity2,entity1
2019-06-14 05:31:00,8.983333333333334,20.0,Eevee,entity3,entity1
2019-06-15 05:15:00,9.183333333333334,33.0,Eevee,entity3,entity1
2019-06-16 04:28:00,6.916666666666667,16.0,Eevee,entity3,entity1
2019-07-05 07:28:00,13.716666666666667,27.0,Eevee,entity2,entity1
2019-07-06 07:33:00,10.65,29.0,Eevee,entity2,entity1
2019-07-07 05:46:00,7.583333333333333,21.0,Eevee,entity2,entity1
2019-07-08 07:13:00,13.683333333333334,20.0,Eevee,entity2,entity1
2019-07-09 04:07:00,9.633333333333333,28.0,Eevee,entity2,entity1
2019-07-10 04:08:00,9.083333333333332,21.0,Eevee,entity2,entity1
2019-07-11 04:12:00,9.083333333333332,21.0,Eevee,entity2,entity1
2019-07-12 04:11:00,9.616666666666667,21.0,Eevee,entity2,entity1
2019-07-13 05:26:00,9.133333333333333,31.0,Eevee,entity2,entity1
2019-07-14 09:31:00,8.333333333333332,15.0,Eevee,entity2,entity1
2019-07-15 04:56:00,9.916666666666668,22.0,Eevee,entity2,entity1
2019-07-16 03:28:00,8.616666666666667,28.0,Eevee,entity2,entity1
2019-07-17 03:55:00,8.766666666666666,47.0,Eevee,entity2,entity1
2019-07-18 04:18:00,9.7,27.0,Eevee,entity2,entity1
2019-07-19 05:38:00,9.233333333333334,24.0,Eevee,entity2,entity2
2019-07-20 07:12:00,10.35,26.0,Eevee,entity2,entity1
2019-07-21 08:28:00,9.75,17.0,Eevee,entity2,entity1
2019-07-22 05:10:00,10.1,15.0,Eevee,entity2,entity1
2019-07-23 03:07:00,7.766666666666667,31.0,Eevee,entity2,entity1
2019-07-24 03:43:00,7.9,38.0,Eevee,entity2,entity2
2019-07-25 03:47:00,8.45,26.0,Eevee,entity2,entity2
2019-07-26 05:38:00,10.566666666666666,19.0,Eevee,entity2,entity3
2019-07-27 08:28:00,8.35,15.0,Eevee,entity2,entity3
2019-07-28 05:53:00,16.03333333333333,29.0,Eevee,entity2,entity2
2019-07-29 04:00:00,9.666666666666668,13.0,Eevee,entity2,entity1
